Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Notes
OECD Env-Growth,SSP1,ARE,GDP|PPP,Annual Average Growth [%],6.696,4.045,3.993,3.845,3.312,2.739,2.088,1.482,1.191,1.132,0.907,0.641,0.323,0.119,-0.059,-0.186,-0.319,-0.528,,
OECD Env-Growth,SSP2,ARE,GDP|PPP,Annual Average Growth [%],6.757,4.088,3.799,3.476,2.883,2.480,2.011,1.608,1.446,1.481,1.334,1.162,0.949,0.770,0.601,0.470,0.338,0.197,,
OECD Env-Growth,SSP3,ARE,GDP|PPP,Annual Average Growth [%],6.168,3.654,3.268,3.068,2.551,2.003,1.287,0.620,0.276,0.284,0.212,0.198,0.184,0.170,0.173,0.189,0.163,0.111,,
OECD Env-Growth,SSP4,ARE,GDP|PPP,Annual Average Growth [%],6.720,4.081,4.003,4.005,3.588,2.961,2.216,1.553,1.172,1.086,0.875,0.679,0.459,0.287,0.126,0.008,-0.117,-0.277,,
OECD Env-Growth,SSP5,ARE,GDP|PPP,Annual Average Growth [%],7.348,4.573,4.902,5.051,4.710,4.038,3.243,2.485,2.027,1.822,1.542,1.245,0.914,0.718,0.568,0.442,0.302,0.077,,
IIASA GDP,SSP1,ARG,GDP|PPP,Annual Average Growth [%],4.327,4.224,3.266,2.630,2.484,2.348,2.081,1.717,1.493,1.373,1.290,1.201,1.091,0.959,0.782,0.603,0.428,0.266,,
IIASA GDP,SSP2,ARG,GDP|PPP,Annual Average Growth [%],4.308,3.989,3.063,2.585,2.270,2.031,2.081,2.031,1.866,1.685,1.578,1.501,1.414,1.315,1.220,1.138,1.060,0.994,,
IIASA GDP,SSP3,ARG,GDP|PPP,Annual Average Growth [%],4.194,3.600,2.655,2.303,2.153,2.002,1.782,1.530,1.383,1.333,1.345,1.370,1.359,1.319,1.280,1.290,1.323,1.368,,
IIASA GDP,SSP4,ARG,GDP|PPP,Annual Average Growth [%],4.020,3.229,2.066,1.519,1.255,1.071,0.839,0.565,0.364,0.248,0.184,0.136,0.059,-0.007,-0.069,-0.108,-0.139,-0.191,,
IIASA GDP,SSP5,ARG,GDP|PPP,Annual Average Growth [%],4.341,4.326,3.483,2.950,2.873,2.761,2.505,2.270,2.138,2.052,1.947,1.827,1.684,1.523,1.318,1.115,0.918,0.737,,
OECD Env-Growth,SSP1,ARG,GDP|PPP,Annual Average Growth [%],4.287,3.768,3.735,3.601,3.407,2.962,2.462,2.053,1.739,1.486,1.262,1.035,0.791,0.640,0.489,0.348,0.217,0.070,,
OECD Env-Growth,SSP2,ARG,GDP|PPP,Annual Average Growth [%],4.376,3.824,3.454,3.112,2.802,2.466,2.172,2.011,1.881,1.750,1.627,1.495,1.356,1.258,1.182,1.122,1.058,0.988,,
OECD Env-Growth,SSP3,ARG,GDP|PPP,Annual Average Growth [%],4.483,3.919,3.126,2.465,1.944,1.594,1.320,1.240,1.195,1.194,1.216,1.226,1.199,1.147,1.084,1.043,1.010,0.993,,
OECD Env-Growth,SSP4,ARG,GDP|PPP,Annual Average Growth [%],4.316,3.703,3.184,2.848,2.485,2.060,1.677,1.503,1.365,1.226,1.063,0.886,0.713,0.619,0.549,0.505,0.468,0.406,,
OECD Env-Growth,SSP5,ARG,GDP|PPP,Annual Average Growth [%],4.269,3.777,4.084,4.334,4.229,3.615,3.029,2.584,2.268,2.021,1.815,1.595,1.365,1.230,1.095,0.972,0.859,0.727,,
IIASA GDP,SSP1,ARM,GDP|PPP,Annual Average Growth [%],10.532,8.625,7.258,4.337,2.084,0.736,0.080,-0.119,-0.058,0.086,0.232,0.335,0.385,0.365,0.284,0.173,0.037,-0.021,,
IIASA GDP,SSP2,ARM,GDP|PPP,Annual Average Growth [%],10.677,8.510,6.963,4.096,2.083,0.957,0.404,0.149,0.112,0.186,0.311,0.406,0.454,0.466,0.478,0.522,0.601,0.703,,
IIASA GDP,SSP3,ARM,GDP|PPP,Annual Average Growth [%],10.764,8.623,7.124,4.279,2.300,1.225,0.741,0.551,0.521,0.581,0.702,0.817,0.914,0.993,1.079,1.178,1.279,1.366,,
IIASA GDP,SSP4,ARM,GDP|PPP,Annual Average Growth [%],10.575,8.165,6.363,3.325,1.281,0.196,-0.303,-0.542,-0.612,-0.592,-0.510,-0.452,-0.428,-0.427,-0.417,-0.377,-0.310,-0.228,,
IIASA GDP,SSP5,ARM,GDP|PPP,Annual Average Growth [%],10.499,8.600,7.256,4.405,2.205,0.870,0.335,0.224,0.317,0.426,0.545,0.640,0.693,0.671,0.584,0.470,0.344,0.318,,
OECD Env-Growth,SSP1,ARM,GDP|PPP,Annual Average Growth [%],3.674,3.465,3.760,4.070,4.001,3.397,2.653,1.943,1.433,1.210,1.135,0.796,0.460,0.335,0.241,0.195,0.099,-0.021,,
OECD Env-Growth,SSP2,ARM,GDP|PPP,Annual Average Growth [%],3.732,3.412,3.122,2.913,2.618,2.289,1.876,1.489,1.254,1.243,1.334,1.172,1.006,0.977,0.987,1.030,1.052,1.054,,
OECD Env-Growth,SSP3,ARM,GDP|PPP,Annual Average Growth [%],3.871,3.592,3.012,2.499,1.955,1.634,1.271,0.954,0.810,0.907,1.087,1.036,0.984,1.008,1.047,1.129,1.185,1.220,,
OECD Env-Growth,SSP4,ARM,GDP|PPP,Annual Average Growth [%],3.662,3.307,3.041,2.978,2.732,2.354,1.870,1.421,1.140,1.103,1.134,0.880,0.614,0.529,0.479,0.486,0.476,0.420,,
OECD Env-Growth,SSP5,ARM,GDP|PPP,Annual Average Growth [%],3.580,3.397,4.136,4.760,4.703,3.820,2.912,2.114,1.573,1.338,1.281,0.959,0.648,0.542,0.474,0.500,0.488,0.436,,
IIASA GDP,SSP1,AUS,GDP|PPP,Annual Average Growth [%],5.015,4.022,3.856,3.352,2.903,2.526,2.225,1.971,1.785,1.652,1.507,1.341,1.177,1.008,0.850,0.691,0.561,0.474,,
IIASA GDP,SSP2,AUS,GDP|PPP,Annual Average Growth [%],5.059,4.034,3.792,3.215,2.730,2.347,2.057,1.818,1.645,1.516,1.382,1.239,1.097,0.957,0.830,0.702,0.580,0.476,,
IIASA GDP,SSP3,AUS,GDP|PPP,Annual Average Growth [%],3.480,1.495,0.977,0.855,0.887,0.943,0.948,0.881,0.796,0.708,0.610,0.512,0.400,0.273,0.150,0.046,-0.037,-0.118,,
IIASA GDP,SSP4,AUS,GDP|PPP,Annual Average Growth [%],5.110,4.072,3.769,3.088,2.538,2.146,1.872,1.643,1.473,1.336,1.190,1.043,0.891,0.731,0.572,0.407,0.245,0.108,,
IIASA GDP,SSP5,AUS,GDP|PPP,Annual Average Growth [%],5.162,4.432,4.565,4.257,3.880,3.502,3.190,2.924,2.723,2.579,2.429,2.250,2.071,1.897,1.741,1.591,1.470,1.386,,
OECD Env-Growth,SSP1,AUS,GDP|PPP,Annual Average Growth [%],3.428,3.419,3.040,2.874,2.786,2.618,2.450,2.158,1.966,1.917,1.821,1.679,1.485,1.312,1.134,0.996,0.896,0.803,,
OECD Env-Growth,SSP2,AUS,GDP|PPP,Annual Average Growth [%],3.407,3.358,2.806,2.404,2.158,2.049,1.982,1.801,1.694,1.713,1.678,1.600,1.465,1.348,1.223,1.128,1.056,0.990,,
OECD Env-Growth,SSP3,AUS,GDP|PPP,Annual Average Growth [%],3.162,2.918,2.178,1.625,1.262,1.025,0.852,0.582,0.425,0.443,0.420,0.331,0.173,0.067,-0.026,-0.055,-0.052,-0.102,,
OECD Env-Growth,SSP4,AUS,GDP|PPP,Annual Average Growth [%],3.356,3.303,2.958,2.795,2.703,2.520,2.355,2.080,1.890,1.852,1.752,1.601,1.394,1.234,1.064,0.930,0.820,0.690,,
OECD Env-Growth,SSP5,AUS,GDP|PPP,Annual Average Growth [%],3.654,3.833,3.774,3.893,3.902,3.719,3.548,3.266,3.085,3.043,2.963,2.859,2.705,2.527,2.356,2.218,2.118,2.044,,
IIASA GDP,SSP1,AUT,GDP|PPP,Annual Average Growth [%],1.422,0.832,0.872,1.078,1.252,1.382,1.434,1.419,1.364,1.293,1.180,1.033,0.904,0.822,0.740,0.631,0.539,0.480,,
IIASA GDP,SSP2,AUT,GDP|PPP,Annual Average Growth [%],1.424,0.780,0.752,0.894,1.020,1.123,1.166,1.157,1.105,1.040,0.953,0.866,0.793,0.737,0.681,0.613,0.546,0.480,,
IIASA GDP,SSP3,AUT,GDP|PPP,Annual Average Growth [%],1.008,0.049,-0.151,-0.010,0.158,0.306,0.371,0.362,0.299,0.216,0.128,0.068,0.012,-0.054,-0.133,-0.205,-0.261,-0.307,,
IIASA GDP,SSP4,AUT,GDP|PPP,Annual Average Growth [%],1.459,0.807,0.739,0.785,0.838,0.907,0.945,0.937,0.888,0.809,0.693,0.579,0.476,0.384,0.285,0.170,0.053,-0.064,,
IIASA GDP,SSP5,AUT,GDP|PPP,Annual Average Growth [%],1.507,1.106,1.386,1.803,2.115,2.324,2.427,2.444,2.409,2.361,2.267,2.127,1.992,1.897,1.807,1.705,1.620,1.564,,
OECD Env-Growth,SSP1,AUT,GDP|PPP,Annual Average Growth [%],2.201,1.879,1.719,1.730,1.750,1.715,1.585,1.355,1.216,1.140,1.083,0.975,0.878,0.780,0.655,0.552,0.478,0.424,,
OECD Env-Growth,SSP2,AUT,GDP|PPP,Annual Average Growth [%],2.171,1.785,1.539,1.450,1.461,1.541,1.521,1.378,1.291,1.245,1.212,1.141,1.070,0.980,0.885,0.804,0.742,0.688,,
OECD Env-Growth,SSP3,AUT,GDP|PPP,Annual Average Growth [%],2.024,1.466,1.074,0.816,0.664,0.623,0.492,0.242,0.084,-0.014,-0.065,-0.178,-0.292,-0.397,-0.502,-0.565,-0.600,-0.661,,
OECD Env-Growth,SSP4,AUT,GDP|PPP,Annual Average Growth [%],2.125,1.733,1.657,1.656,1.640,1.573,1.427,1.184,1.036,0.954,0.883,0.761,0.642,0.539,0.427,0.342,0.272,0.177,,
OECD Env-Growth,SSP5,AUT,GDP|PPP,Annual Average Growth [%],2.309,2.104,2.262,2.500,2.612,2.586,2.512,2.359,2.282,2.257,2.227,2.163,2.103,2.009,1.890,1.788,1.715,1.682,,
IIASA GDP,SSP1,AZE,GDP|PPP,Annual Average Growth [%],18.698,8.916,2.728,0.938,0.526,0.818,1.004,1.072,0.886,0.778,0.405,0.077,-0.217,-0.413,-0.398,-0.244,-0.060,0.081,,
IIASA GDP,SSP2,AZE,GDP|PPP,Annual Average Growth [%],19.372,9.238,2.776,0.810,0.477,0.885,1.163,1.292,1.051,0.902,0.524,0.216,-0.058,-0.227,-0.161,0.064,0.325,0.499,,
IIASA GDP,SSP3,AZE,GDP|PPP,Annual Average Growth [%],18.731,8.878,2.700,0.952,0.617,1.002,1.284,1.439,1.231,1.074,0.681,0.381,0.167,0.087,0.244,0.533,0.830,1.032,,
IIASA GDP,SSP4,AZE,GDP|PPP,Annual Average Growth [%],19.221,8.803,2.110,-0.030,-0.443,-0.081,0.174,0.273,0.034,-0.095,-0.424,-0.680,-0.924,-1.084,-1.022,-0.804,-0.557,-0.404,,
IIASA GDP,SSP5,AZE,GDP|PPP,Annual Average Growth [%],18.741,9.065,2.997,1.314,0.972,1.304,1.508,1.585,1.323,1.212,0.882,0.622,0.372,0.201,0.228,0.381,0.556,0.684,,
OECD Env-Growth,SSP1,AZE,GDP|PPP,Annual Average Growth [%],2.504,2.861,1.894,2.216,1.591,1.837,1.914,1.699,1.646,1.904,2.227,2.076,1.581,1.330,1.164,1.093,0.974,0.756,,
OECD Env-Growth,SSP2,AZE,GDP|PPP,Annual Average Growth [%],2.592,2.891,1.824,1.743,0.714,0.910,1.206,1.348,1.527,1.857,2.176,2.126,1.834,1.725,1.712,1.775,1.766,1.642,,
OECD Env-Growth,SSP3,AZE,GDP|PPP,Annual Average Growth [%],2.637,2.950,1.884,1.696,0.401,0.044,-0.088,-0.119,0.125,0.614,1.088,1.196,1.123,1.190,1.300,1.482,1.587,1.604,,
OECD Env-Growth,SSP4,AZE,GDP|PPP,Annual Average Growth [%],2.497,2.793,1.928,2.031,1.053,0.920,0.972,1.037,1.249,1.613,1.898,1.784,1.400,1.252,1.198,1.232,1.196,1.034,,
OECD Env-Growth,SSP5,AZE,GDP|PPP,Annual Average Growth [%],2.524,2.887,2.441,3.126,2.680,2.722,2.752,2.629,2.642,2.864,3.068,2.808,2.267,1.995,1.836,1.775,1.668,1.470,,
IIASA GDP,SSP1,BDI,GDP|PPP,Annual Average Growth [%],3.748,7.397,6.991,5.876,5.255,4.944,4.854,5.051,5.287,5.470,5.430,5.134,4.599,3.984,3.397,2.908,2.950,2.790,,
IIASA GDP,SSP2,BDI,GDP|PPP,Annual Average Growth [%],2.581,6.158,5.724,4.741,3.959,3.473,3.236,3.345,3.607,3.886,4.018,4.020,3.902,3.731,3.581,3.489,3.406,3.259,,
IIASA GDP,SSP3,BDI,GDP|PPP,Annual Average Growth [%],1.674,4.810,3.947,2.799,1.844,1.272,0.956,0.956,1.123,1.308,1.380,1.326,1.225,1.095,0.996,0.940,0.897,0.854,,
IIASA GDP,SSP4,BDI,GDP|PPP,Annual Average Growth [%],1.694,5.198,4.759,3.962,3.195,2.731,2.462,2.493,2.681,2.906,2.990,2.916,2.766,2.586,2.431,2.318,2.221,2.129,,
IIASA GDP,SSP5,BDI,GDP|PPP,Annual Average Growth [%],3.889,7.950,8.032,7.250,6.764,6.470,6.347,6.476,6.623,6.696,6.528,6.092,5.413,4.640,3.928,3.339,3.308,3.084,,
OECD Env-Growth,SSP1,BDI,GDP|PPP,Annual Average Growth [%],5.436,6.890,8.167,9.398,9.947,9.704,9.008,8.140,7.302,6.573,5.864,5.169,4.462,3.823,3.269,2.819,2.449,2.078,,
OECD Env-Growth,SSP2,BDI,GDP|PPP,Annual Average Growth [%],5.591,6.814,6.913,7.152,7.059,7.100,6.909,6.593,6.292,6.035,5.720,5.380,4.976,4.556,4.187,3.884,3.606,3.312,,
OECD Env-Growth,SSP3,BDI,GDP|PPP,Annual Average Growth [%],5.558,6.525,5.586,5.232,4.570,4.474,4.260,3.985,3.801,3.708,3.611,3.467,3.289,3.050,2.827,2.662,2.508,2.359,,
OECD Env-Growth,SSP4,BDI,GDP|PPP,Annual Average Growth [%],5.701,6.692,5.628,5.001,3.990,3.765,3.487,3.182,2.975,2.856,2.716,2.559,2.386,2.171,1.977,1.841,1.725,1.632,,
OECD Env-Growth,SSP5,BDI,GDP|PPP,Annual Average Growth [%],5.573,7.271,9.319,11.224,11.905,11.235,10.177,9.038,8.024,7.192,6.418,5.684,4.958,4.296,3.750,3.311,2.952,2.591,,
IIASA GDP,SSP1,BEL,GDP|PPP,Annual Average Growth [%],3.304,3.750,4.108,3.599,3.007,2.487,2.090,1.803,1.614,1.496,1.396,1.285,1.178,1.093,1.025,0.942,0.860,0.788,,
IIASA GDP,SSP2,BEL,GDP|PPP,Annual Average Growth [%],3.337,3.735,3.989,3.391,2.756,2.226,1.831,1.552,1.373,1.267,1.180,1.101,1.035,0.980,0.932,0.883,0.832,0.762,,
IIASA GDP,SSP3,BEL,GDP|PPP,Annual Average Growth [%],1.080,0.192,0.231,0.435,0.597,0.684,0.675,0.609,0.540,0.485,0.429,0.378,0.318,0.252,0.186,0.124,0.059,-0.016,,
IIASA GDP,SSP4,BEL,GDP|PPP,Annual Average Growth [%],3.411,3.797,3.972,3.239,2.521,1.969,1.574,1.291,1.104,0.978,0.863,0.760,0.655,0.551,0.449,0.355,0.264,0.151,,
IIASA GDP,SSP5,BEL,GDP|PPP,Annual Average Growth [%],3.393,3.989,4.519,4.153,3.642,3.155,2.775,2.492,2.309,2.206,2.126,2.024,1.918,1.829,1.758,1.684,1.622,1.573,,
OECD Env-Growth,SSP1,BEL,GDP|PPP,Annual Average Growth [%],1.565,1.682,1.885,2.107,2.200,2.095,1.872,1.660,1.550,1.502,1.432,1.306,1.186,1.093,1.006,0.919,0.847,0.779,,
OECD Env-Growth,SSP2,BEL,GDP|PPP,Annual Average Growth [%],1.531,1.621,1.789,1.935,2.020,1.984,1.847,1.702,1.626,1.589,1.520,1.413,1.311,1.231,1.159,1.100,1.049,0.981,,
OECD Env-Growth,SSP3,BEL,GDP|PPP,Annual Average Growth [%],1.373,1.349,1.282,1.243,1.158,0.991,0.743,0.513,0.392,0.336,0.256,0.103,-0.038,-0.116,-0.187,-0.231,-0.276,-0.361,,
OECD Env-Growth,SSP4,BEL,GDP|PPP,Annual Average Growth [%],1.471,1.535,1.764,1.968,2.012,1.865,1.636,1.422,1.309,1.248,1.141,0.972,0.816,0.719,0.635,0.573,0.510,0.399,,
OECD Env-Growth,SSP5,BEL,GDP|PPP,Annual Average Growth [%],1.683,1.924,2.377,2.787,2.968,2.904,2.766,2.643,2.606,2.613,2.583,2.507,2.430,2.347,2.263,2.174,2.104,2.058,,
IIASA GDP,SSP1,BEN,GDP|PPP,Annual Average Growth [%],4.046,4.727,5.506,5.525,5.537,5.483,5.443,5.331,5.050,4.687,4.307,3.938,3.546,3.435,3.226,2.888,2.422,1.971,,
IIASA GDP,SSP2,BEN,GDP|PPP,Annual Average Growth [%],3.469,3.862,4.405,4.379,4.281,4.157,4.111,4.076,3.952,3.805,3.665,3.536,3.412,3.309,3.206,3.102,2.987,2.859,,
IIASA GDP,SSP3,BEN,GDP|PPP,Annual Average Growth [%],3.352,3.437,3.555,3.215,2.891,2.585,2.388,2.223,2.038,1.847,1.682,1.549,1.424,1.325,1.235,1.185,1.142,1.121,,
IIASA GDP,SSP4,BEN,GDP|PPP,Annual Average Growth [%],3.293,3.542,3.892,3.804,3.647,3.472,3.371,3.281,3.150,3.000,2.847,2.701,2.546,2.413,2.287,2.204,2.130,2.080,,
IIASA GDP,SSP5,BEN,GDP|PPP,Annual Average Growth [%],4.088,5.001,6.102,6.405,6.588,6.609,6.577,6.432,6.095,5.665,5.203,4.735,4.234,4.012,3.704,3.282,2.832,2.628,,
OECD Env-Growth,SSP1,BEN,GDP|PPP,Annual Average Growth [%],3.575,5.227,6.639,7.454,7.908,7.943,7.677,7.233,6.682,6.088,5.462,4.840,4.236,3.728,3.268,2.856,2.489,2.135,,
OECD Env-Growth,SSP2,BEN,GDP|PPP,Annual Average Growth [%],3.786,4.948,5.529,5.604,5.514,5.679,5.745,5.709,5.595,5.437,5.228,4.978,4.686,4.401,4.125,3.867,3.620,3.377,,
OECD Env-Growth,SSP3,BEN,GDP|PPP,Annual Average Growth [%],3.899,4.791,4.799,4.451,3.928,3.865,3.818,3.705,3.586,3.448,3.298,3.151,2.989,2.838,2.676,2.550,2.420,2.308,,
OECD Env-Growth,SSP4,BEN,GDP|PPP,Annual Average Growth [%],3.928,4.808,4.680,4.229,3.425,3.231,3.086,2.898,2.723,2.547,2.371,2.217,2.062,1.930,1.797,1.710,1.631,1.581,,
OECD Env-Growth,SSP5,BEN,GDP|PPP,Annual Average Growth [%],3.595,5.332,7.256,8.700,9.436,9.259,8.760,8.110,7.401,6.697,6.000,5.335,4.708,4.189,3.727,3.319,2.959,2.614,,
IIASA GDP,SSP1,BFA,GDP|PPP,Annual Average Growth [%],3.677,3.553,4.271,4.888,4.934,5.170,5.280,5.097,5.096,5.197,5.266,5.140,4.822,4.380,3.883,3.389,2.930,2.522,,
IIASA GDP,SSP2,BFA,GDP|PPP,Annual Average Growth [%],2.692,2.446,3.135,3.902,3.847,3.964,4.009,4.178,4.360,4.490,4.518,4.472,4.361,4.222,4.070,3.897,3.826,3.753,,
IIASA GDP,SSP3,BFA,GDP|PPP,Annual Average Growth [%],2.826,0.542,0.681,1.738,2.477,3.513,3.729,3.539,3.116,2.770,2.476,2.243,2.037,1.851,1.696,1.581,1.496,1.430,,
IIASA GDP,SSP4,BFA,GDP|PPP,Annual Average Growth [%],1.862,-0.746,-0.380,1.385,2.757,3.595,3.971,4.061,3.990,3.839,3.679,3.534,3.411,3.301,3.197,3.098,3.012,2.927,,
IIASA GDP,SSP5,BFA,GDP|PPP,Annual Average Growth [%],3.684,3.735,4.723,5.632,5.898,6.270,6.430,6.246,6.191,6.203,6.163,5.923,5.493,4.948,4.361,3.795,3.280,2.913,,
OECD Env-Growth,SSP1,BFA,GDP|PPP,Annual Average Growth [%],5.902,6.500,7.484,7.997,8.155,7.904,7.474,6.974,6.411,5.817,5.232,4.669,4.132,3.683,3.277,2.902,2.563,2.239,,
OECD Env-Growth,SSP2,BFA,GDP|PPP,Annual Average Growth [%],6.211,6.675,6.716,6.509,6.236,6.251,6.222,6.122,5.951,5.709,5.456,5.185,4.883,4.574,4.271,3.969,3.688,3.422,,
OECD Env-Growth,SSP3,BFA,GDP|PPP,Annual Average Growth [%],6.470,6.781,6.020,5.257,4.561,4.382,4.278,4.161,4.029,3.864,3.709,3.556,3.368,3.162,2.956,2.760,2.585,2.424,,
OECD Env-Growth,SSP4,BFA,GDP|PPP,Annual Average Growth [%],6.444,6.703,5.787,4.884,3.949,3.699,3.555,3.416,3.275,3.113,2.979,2.855,2.701,2.534,2.374,2.230,2.112,2.013,,
OECD Env-Growth,SSP5,BFA,GDP|PPP,Annual Average Growth [%],5.870,6.522,7.996,9.078,9.418,8.909,8.244,7.567,6.884,6.211,5.598,5.027,4.498,4.074,3.696,3.352,3.046,2.753,,
IIASA GDP,SSP1,BGD,GDP|PPP,Annual Average Growth [%],4.258,4.440,4.064,4.034,4.024,4.102,3.950,3.775,3.551,3.686,3.519,3.066,2.393,1.765,1.257,0.883,0.608,0.384,,
IIASA GDP,SSP2,BGD,GDP|PPP,Annual Average Growth [%],4.007,3.700,3.013,2.862,2.864,3.004,3.000,2.948,2.908,2.843,2.733,2.605,2.501,2.705,2.704,2.479,2.092,1.738,,
IIASA GDP,SSP3,BGD,GDP|PPP,Annual Average Growth [%],3.966,3.285,2.159,1.623,1.358,1.291,1.166,1.024,0.942,0.895,0.866,0.859,0.897,0.907,0.903,0.908,0.939,0.995,,
IIASA GDP,SSP4,BGD,GDP|PPP,Annual Average Growth [%],3.726,3.060,1.989,1.566,1.418,1.489,1.444,1.349,1.237,1.116,0.973,0.833,0.745,0.658,0.559,0.464,0.407,0.364,,
IIASA GDP,SSP5,BGD,GDP|PPP,Annual Average Growth [%],4.247,4.596,4.463,4.682,4.837,4.997,4.848,4.625,4.326,4.393,4.147,3.611,2.859,2.167,1.613,1.264,1.257,1.401,,
OECD Env-Growth,SSP1,BGD,GDP|PPP,Annual Average Growth [%],6.243,7.114,7.160,7.098,6.866,6.294,5.561,4.811,4.159,3.579,3.033,2.556,2.168,1.809,1.491,1.225,1.013,0.811,,
OECD Env-Growth,SSP2,BGD,GDP|PPP,Annual Average Growth [%],6.385,7.102,6.288,5.424,4.743,4.494,4.196,3.908,3.677,3.474,3.257,3.063,2.892,2.674,2.474,2.302,2.164,2.031,,
OECD Env-Growth,SSP3,BGD,GDP|PPP,Annual Average Growth [%],6.509,7.181,5.813,4.452,3.342,2.978,2.642,2.360,2.192,2.098,2.011,1.973,1.956,1.879,1.811,1.777,1.772,1.782,,
